order_id,product_id,order_date,qty,region,customer_type,base_price,unit_price,discount_pct,order_value,order_month,category,is_on_sale,sale_event,day_of_week,calc_order_value
17,SKU0002,2025-01-21,2,Free State,Individual,24999,19253.57,22.98,38507.14,2025-01,Computers & Laptops,true,Volume Discount,Tuesday,38507.14
18,SKU0016,2025-01-21,3,Western Cape,Individual,1299,858.71,33.89,2576.13,2025-01,Accessories & Peripherals,true,Year End Sale,Tuesday,2576.13
19,SKU0003,2025-01-21,4,Eastern Cape,Individual,19999,14886.8,25.56,59547.2,2025-01,Computers & Laptops,true,Bulk Purchase,Tuesday,59547.2
20,SKU0017,2025-01-21,2,Eastern Cape,Business,3999,2662.59,33.42,5325.18,2025-01,Accessories & Peripherals,true,Volume Discount,Tuesday,5325.18
21,SKU0023,2025-01-21,1,Eastern Cape,Individual,6999,4707.97,32.73,4707.97,2025-01,Networking & Storage,true,Bulk Purchase,Tuesday,4707.97
22,SKU0010,2025-01-21,1,Free State,Premium,32999,27500.26,16.66,27500.26,2025-01,Mobile & Smartphones,true,New Client Promotion,Tuesday,27500.26
23,SKU0024,2025-01-21,6,Western Cape,Individual,14999,9983.87,33.44,59903.2,2025-01,Networking & Storage,true,Business Sale,Tuesday,59903.2
24,SKU0021,2025-01-21,2,Western Cape,Individual,8999,6862.69,23.74,13725.39,2025-01,Displays & Audio Visual,true,Bulk Purchase,Tuesday,13725.39
25,SKU0029,2025-01-21,3,Western Cape,Individual,24999,19237.75,23.05,57713.25,2025-01,Gaming & Entertainment,true,Bulk Purchase,Tuesday,57713.25
26,SKU0030,2025-01-26,4,Free State,Individual,12999,9231.5,28.98,36926.01,2025-01,Wearables & Smart Devices,true,Volume Discount,Sunday,36926.01
27,SKU0026,2025-01-26,2,Free State,Business,2535,1547.73,38.95,3095.46,2025-01,Software & Licensing,true,Bulk Purchase,Sunday,3095.46
28,SKU0027,2025-01-26,2,KwaZulu-Natal,Business,4087,3000.58,26.58,6001.15,2025-01,Software & Licensing,true,New Client Promotion,Sunday,6001.15
29,SKU0019,2025-01-26,1,Gauteng,Individual,12999,9347.56,28.09,9347.56,2025-01,Displays & Audio Visual,true,Year End Sale,Sunday,9347.56
30,SKU0028,2025-01-31,2,KwaZulu-Natal,Individual,34999,26128.69,25.34,52257.38,2025-01,Gaming & Entertainment,true,Business Sale,Friday,52257.38
31,SKU0002,2025-01-16,1,Free State,Individual,24999,18856.32,24.57,18856.32,2025-01,Computers & Laptops,true,Volume Discount,Thursday,18856.32
32,SKU0004,2025-01-16,1,Western Cape,Individual,45999,34569.15,24.85,34569.15,2025-01,Computers & Laptops,true,Business Sale,Thursday,34569.15
33,SKU0021,2025-01-16,2,KwaZulu-Natal,Individual,8999,6856.45,23.81,13712.9,2025-01,Displays & Audio Visual,true,New Client Promotion,Thursday,13712.9
34,SKU0027,2025-01-16,2,Eastern Cape,Individual,4087,2964.76,27.46,5929.52,2025-01,Software & Licensing,true,Business Sale,Thursday,5929.52
35,SKU0025,2025-01-21,3,Gauteng,Individual,2999,2382.61,20.55,7147.82,2025-01,Networking & Storage,true,Business Sale,Tuesday,7147.82
36,SKU0013,2025-01-21,2,Eastern Cape,Individual,8999,6733.41,25.18,13466.81,2025-01,Mobile & Smartphones,true,Business Sale,Tuesday,13466.81
37,SKU0017,2025-01-21,4,Gauteng,Individual,3999,2905.6,27.34,11622.41,2025-01,Accessories & Peripherals,true,New Client Promotion,Tuesday,11622.41
38,SKU0029,2025-01-21,2,Free State,Individual,24999,18613.05,25.54,37226.1,2025-01,Gaming & Entertainment,true,Business Sale,Tuesday,37226.1
39,SKU0028,2025-01-21,2,KwaZulu-Natal,Individual,34999,26068.39,25.52,52136.79,2025-01,Gaming & Entertainment,true,New Client Promotion,Tuesday,52136.79
40,SKU0010,2025-01-21,1,Gauteng,Individual,32999,24811.39,24.81,24811.39,2025-01,Mobile & Smartphones,true,Bulk Purchase,Tuesday,24811.39
41,SKU0015,2025-01-21,3,Gauteng,Individual,8999,7176.81,20.25,21530.43,2025-01,Accessories & Peripherals,true,Volume Discount,Tuesday,21530.43
42,SKU0029,2025-01-21,2,Eastern Cape,Individual,24999,18691.75,25.23,37383.51,2025-01,Gaming & Entertainment,true,New Client Promotion,Tuesday,37383.51
43,SKU0006,2025-01-21,1,Free State,Business,22999,16527.98,28.14,16527.98,2025-01,Computers & Laptops,true,Year End Sale,Tuesday,16527.98
44,SKU0015,2025-01-21,2,Gauteng,Individual,8999,6449.76,28.33,12899.52,2025-01,Accessories & Peripherals,true,New Client Promotion,Tuesday,12899.52
45,SKU0003,2025-01-31,1,Eastern Cape,Individual,19999,14099.99,29.5,14099.99,2025-01,Computers & Laptops,true,Business Sale,Friday,14099.99
46,SKU0001,2025-01-31,2,KwaZulu-Natal,Individual,28999,19337.53,33.32,38675.07,2025-01,Computers & Laptops,true,New Client Promotion,Friday,38675.07
47,SKU0018,2025-01-31,3,Western Cape,Business,4999,3294.52,34.1,9883.56,2025-01,Accessories & Peripherals,true,Volume Discount,Friday,9883.56
48,SKU0030,2025-01-16,2,KwaZulu-Natal,Individual,12999,10201.35,21.52,20402.69,2025-01,Wearables & Smart Devices,true,Volume Discount,Thursday,20402.69
49,SKU0003,2025-01-16,2,Eastern Cape,Individual,19999,14043.41,29.78,28086.83,2025-01,Computers & Laptops,true,Business Sale,Thursday,28086.83
50,SKU0021,2025-01-16,1,Free State,Business,8999,6310.01,29.88,6310.01,2025-01,Displays & Audio Visual,true,New Client Promotion,Thursday,6310.01
51,SKU0030,2025-01-16,1,Western Cape,Individual,12999,9132.51,29.74,9132.51,2025-01,Wearables & Smart Devices,true,Volume Discount,Thursday,9132.51
52,SKU0006,2025-01-16,4,Gauteng,Individual,22999,17535.14,23.76,70140.58,2025-01,Computers & Laptops,true,Bulk Purchase,Thursday,70140.58
53,SKU0018,2025-01-16,2,KwaZulu-Natal,Individual,4999,3403.21,31.92,6806.42,2025-01,Accessories & Peripherals,true,Business Sale,Thursday,6806.42
54,SKU0020,2025-01-21,1,Gauteng,Individual,5579,4270.57,23.45,4270.57,2025-01,Displays & Audio Visual,true,Volume Discount,Tuesday,4270.57
55,SKU0022,2025-01-21,1,Free State,Individual,6999,5413.26,22.66,5413.26,2025-01,Displays & Audio Visual,true,New Client Promotion,Tuesday,5413.26
56,SKU0027,2025-01-21,3,Free State,Individual,4087,3098.22,24.19,9294.65,2025-01,Software & Licensing,true,Volume Discount,Tuesday,9294.65
57,SKU0021,2025-01-21,2,Free State,Business,8999,6302.79,29.96,12605.57,2025-01,Displays & Audio Visual,true,Bulk Purchase,Tuesday,12605.57
58,SKU0029,2025-01-26,2,Eastern Cape,Individual,24999,16323.1,34.7,32646.21,2025-01,Gaming & Entertainment,true,New Client Promotion,Sunday,32646.21
59,SKU0029,2025-01-26,2,Gauteng,Individual,24999,18555.14,25.78,37110.28,2025-01,Gaming & Entertainment,true,Business Sale,Sunday,37110.28
60,SKU0030,2025-01-31,4,Free State,Individual,12999,9452.98,27.28,37811.91,2025-01,Wearables & Smart Devices,true,Year End Sale,Friday,37811.91
61,SKU0001,2025-01-16,4,KwaZulu-Natal,Business,28999,20840.48,28.13,83361.94,2025-01,Computers & Laptops,true,Year End Sale,Thursday,83361.94
62,SKU0029,2025-01-16,1,KwaZulu-Natal,Individual,24999,18891.9,24.43,18891.9,2025-01,Gaming & Entertainment,true,Year End Sale,Thursday,18891.9
63,SKU0004,2025-01-16,3,Western Cape,Business,45999,32453.37,29.45,97360.12,2025-01,Computers & Laptops,true,Year End Sale,Thursday,97360.12
64,SKU0017,2025-01-16,1,Western Cape,Business,3999,2451.44,38.7,2451.44,2025-01,Accessories & Peripherals,true,Year End Sale,Thursday,2451.44
65,SKU0029,2025-01-21,3,Free State,Individual,24999,17644.69,29.42,52934.07,2025-01,Gaming & Entertainment,true,New Client Promotion,Tuesday,52934.07
66,SKU0002,2025-01-21,2,Eastern Cape,Individual,24999,18590.82,25.63,37181.64,2025-01,Computers & Laptops,true,Year End Sale,Tuesday,37181.64
67,SKU0030,2025-01-21,2,Free State,Business,12999,8621.69,33.67,17243.38,2025-01,Wearables & Smart Devices,true,Volume Discount,Tuesday,17243.38
68,SKU0001,2025-01-21,1,Gauteng,Individual,28999,23066.53,20.46,23066.53,2025-01,Computers & Laptops,true,New Client Promotion,Tuesday,23066.53
69,SKU0010,2025-01-26,2,Western Cape,Individual,32999,22301.37,32.42,44602.75,2025-01,Mobile & Smartphones,true,New Client Promotion,Sunday,44602.75
70,SKU0020,2025-01-26,1,Gauteng,Individual,5579,4391.78,21.28,4391.78,2025-01,Displays & Audio Visual,true,Bulk Purchase,Sunday,4391.78
71,SKU0030,2025-01-31,2,KwaZulu-Natal,Individual,12999,9363.14,27.97,18726.28,2025-01,Wearables & Smart Devices,true,Volume Discount,Friday,18726.28
72,SKU0028,2025-01-31,2,Gauteng,Individual,34999,24187.33,30.89,48374.66,2025-01,Gaming & Entertainment,true,Bulk Purchase,Friday,48374.66
73,SKU0014,2025-01-31,1,Western Cape,Individual,23999,17763.5,25.98,17763.5,2025-01,Mobile & Smartphones,true,Volume Discount,Friday,17763.5
74,SKU0019,2025-01-16,2,Gauteng,Individual,12999,10349.77,20.38,20699.54,2025-01,Displays & Audio Visual,true,Bulk Purchase,Thursday,20699.54
75,SKU0027,2025-01-16,2,Free State,Individual,4087,3007.02,26.42,6014.04,2025-01,Software & Licensing,true,New Client Promotion,Thursday,6014.04
76,SKU0025,2025-01-16,1,Free State,Business,2999,1837.54,38.73,1837.54,2025-01,Networking & Storage,true,Year End Sale,Thursday,1837.54
77,SKU0030,2025-01-16,3,Free State,Individual,12999,9328.29,28.24,27984.87,2025-01,Wearables & Smart Devices,true,Business Sale,Thursday,27984.87
78,SKU0030,2025-01-16,3,Western Cape,Business,12999,7926.89,39.02,23780.68,2025-01,Wearables & Smart Devices,true,Business Sale,Thursday,23780.68
79,SKU0030,2025-01-16,3,Gauteng,Individual,12999,9391.72,27.75,28175.16,2025-01,Wearables & Smart Devices,true,Bulk Purchase,Thursday,28175.16
80,SKU0027,2025-01-16,2,Gauteng,Individual,4087,3012.36,26.29,6024.73,2025-01,Software & Licensing,true,New Client Promotion,Thursday,6024.73
81,SKU0012,2025-01-21,3,Gauteng,Individual,28999,22694.3,21.74,68082.9,2025-01,Mobile & Smartphones,true,Bulk Purchase,Tuesday,68082.9
82,SKU0029,2025-01-21,2,Western Cape,Individual,24999,18831.45,24.67,37662.89,2025-01,Gaming & Entertainment,true,New Client Promotion,Tuesday,37662.89
83,SKU0023,2025-01-21,1,Gauteng,Individual,6999,5083.08,27.37,5083.08,2025-01,Networking & Storage,true,New Client Promotion,Tuesday,5083.08
84,SKU0003,2025-01-26,1,Gauteng,Individual,19999,13339.29,33.3,13339.29,2025-01,Computers & Laptops,true,New Client Promotion,Sunday,13339.29
85,SKU0028,2025-01-26,1,KwaZulu-Natal,Individual,34999,24713.53,29.39,24713.53,2025-01,Gaming & Entertainment,true,Year End Sale,Sunday,24713.53
86,SKU0030,2025-01-31,4,Free State,Business,12999,8079.22,37.85,32316.89,2025-01,Wearables & Smart Devices,true,Bulk Purchase,Friday,32316.89
87,SKU0023,2025-01-31,3,Western Cape,Individual,6999,5571.37,20.4,16714.1,2025-01,Networking & Storage,true,Volume Discount,Friday,16714.1
88,SKU0021,2025-01-31,3,Western Cape,Individual,8999,6330.86,29.65,18992.57,2025-01,Displays & Audio Visual,true,Business Sale,Friday,18992.57
89,SKU0024,2025-01-31,1,Western Cape,Individual,14999,9881.05,34.12,9881.05,2025-01,Networking & Storage,true,Volume Discount,Friday,9881.05
90,SKU0006,2025-01-31,2,Western Cape,Individual,22999,18051.53,21.51,36103.06,2025-01,Computers & Laptops,true,Year End Sale,Friday,36103.06
91,SKU0023,2025-01-16,1,KwaZulu-Natal,Business,6999,4532.2,35.25,4532.2,2025-01,Networking & Storage,true,Business Sale,Thursday,4532.2
92,SKU0009,2025-01-16,4,KwaZulu-Natal,Individual,24999,16945.07,32.22,67780.26,2025-01,Mobile & Smartphones,true,Business Sale,Thursday,67780.26
93,SKU0028,2025-01-16,3,Gauteng,Individual,34999,24361.63,30.39,73084.89,2025-01,Gaming & Entertainment,true,Year End Sale,Thursday,73084.89
94,SKU0024,2025-01-16,1,Gauteng,Business,14999,11161.09,25.59,11161.09,2025-01,Networking & Storage,true,Business Sale,Thursday,11161.09
95,SKU0024,2025-01-16,3,Free State,Individual,14999,10766.35,28.22,32299.04,2025-01,Networking & Storage,true,Bulk Purchase,Thursday,32299.04
96,SKU0005,2025-01-16,1,Free State,Business,39999,25340.89,36.65,25340.89,2025-01,Computers & Laptops,true,Bulk Purchase,Thursday,25340.89
97,SKU0020,2025-01-16,2,Western Cape,Individual,5579,3844.01,31.1,7688.01,2025-01,Displays & Audio Visual,true,Volume Discount,Thursday,7688.01
98,SKU0003,2025-01-21,4,Eastern Cape,Individual,19999,15106.34,24.46,60425.36,2025-01,Computers & Laptops,true,Volume Discount,Tuesday,60425.36
99,SKU0002,2025-01-21,3,Western Cape,Individual,24999,16411.34,34.35,49234.02,2025-01,Computers & Laptops,true,New Client Promotion,Tuesday,49234.02
100,SKU0015,2025-01-21,3,KwaZulu-Natal,Individual,8999,6593.87,26.73,19781.6,2025-01,Accessories & Peripherals,true,Volume Discount,Tuesday,19781.6
101,SKU0020,2025-01-21,1,Gauteng,Individual,5579,3833.58,31.29,3833.58,2025-01,Displays & Audio Visual,true,Business Sale,Tuesday,3833.58
102,SKU0029,2025-01-21,1,Free State,Individual,24999,16508.36,33.96,16508.36,2025-01,Gaming & Entertainment,true,Year End Sale,Tuesday,16508.36
103,SKU0028,2025-01-21,4,KwaZulu-Natal,Individual,34999,25114.26,28.24,100457.02,2025-01,Gaming & Entertainment,true,Bulk Purchase,Tuesday,100457.02
104,SKU0016,2025-01-26,2,Western Cape,Individual,1299,901.67,30.59,1803.34,2025-01,Accessories & Peripherals,true,New Client Promotion,Sunday,1803.34
105,SKU0003,2025-01-26,2,Free State,Individual,19999,14720.99,26.39,29441.98,2025-01,Computers & Laptops,true,Year End Sale,Sunday,29441.98
106,SKU0005,2025-01-16,3,Western Cape,Business,39999,28599.92,28.5,85799.75,2025-01,Computers & Laptops,true,Bulk Purchase,Thursday,85799.75
107,SKU0007,2025-01-16,2,Free State,Premium,17999,15073.71,16.25,30147.42,2025-01,Computers & Laptops,true,Bulk Purchase,Thursday,30147.42
108,SKU0022,2025-01-16,4,Eastern Cape,Business,6999,4988.13,28.73,19952.51,2025-01,Displays & Audio Visual,true,Volume Discount,Thursday,19952.51
109,SKU0028,2025-01-16,1,Free State,Individual,34999,25412.99,27.39,25412.99,2025-01,Gaming & Entertainment,true,Bulk Purchase,Thursday,25412.99
110,SKU0013,2025-01-16,1,Free State,Individual,8999,6322.86,29.74,6322.86,2025-01,Mobile & Smartphones,true,Business Sale,Thursday,6322.86
111,SKU0017,2025-01-21,1,Eastern Cape,Individual,3999,2974.33,25.62,2974.33,2025-01,Accessories & Peripherals,true,Business Sale,Tuesday,2974.33
112,SKU0007,2025-01-21,1,Free State,Individual,17999,11759.01,34.67,11759.01,2025-01,Computers & Laptops,true,Bulk Purchase,Tuesday,11759.01
113,SKU0024,2025-01-21,2,Free State,Individual,14999,11901.55,20.65,23803.11,2025-01,Networking & Storage,true,Bulk Purchase,Tuesday,23803.11
114,SKU0017,2025-01-21,1,Western Cape,Individual,3999,2866.97,28.31,2866.97,2025-01,Accessories & Peripherals,true,New Client Promotion,Tuesday,2866.97
115,SKU0004,2025-01-21,1,Eastern Cape,Individual,45999,29928.11,34.94,29928.11,2025-01,Computers & Laptops,true,Volume Discount,Tuesday,29928.11
116,SKU0030,2025-01-26,2,Gauteng,Individual,12999,8961.96,31.06,17923.93,2025-01,Wearables & Smart Devices,true,Volume Discount,Sunday,17923.93
117,SKU0019,2025-01-16,3,Eastern Cape,Individual,12999,10191.04,21.6,30573.13,2025-01,Displays & Audio Visual,true,Bulk Purchase,Thursday,30573.13
118,SKU0030,2025-01-16,1,KwaZulu-Natal,Individual,12999,10068.35,22.55,10068.35,2025-01,Wearables & Smart Devices,true,New Client Promotion,Thursday,10068.35
119,SKU0013,2025-01-16,3,Free State,Individual,8999,6848.31,23.9,20544.92,2025-01,Mobile & Smartphones,true,Volume Discount,Thursday,20544.92
120,SKU0027,2025-01-16,6,KwaZulu-Natal,Individual,4087,2940.95,28.04,17645.68,2025-01,Software & Licensing,true,Business Sale,Thursday,17645.68
121,SKU0025,2025-01-21,2,Gauteng,Individual,2999,2277.31,24.06,4554.62,2025-01,Networking & Storage,true,Bulk Purchase,Tuesday,4554.62
122,SKU0027,2025-01-21,2,KwaZulu-Natal,Individual,4087,2765.34,32.34,5530.69,2025-01,Software & Licensing,true,Year End Sale,Tuesday,5530.69
123,SKU0016,2025-01-26,4,Gauteng,Individual,1299,860.1,33.79,3440.39,2025-01,Accessories & Peripherals,true,Year End Sale,Sunday,3440.39
124,SKU0030,2025-01-31,3,Gauteng,Individual,12999,8689.84,33.15,26069.52,2025-01,Wearables & Smart Devices,true,Volume Discount,Friday,26069.52
125,SKU0024,2025-03-22,5,Western Cape,Individual,14999,11073.94,26.17,55369.69,2025-03,Networking & Storage,true,Business Sale,Saturday,55369.69
126,SKU0013,2025-03-22,1,Free State,Individual,8999,6668.72,25.89,6668.72,2025-03,Mobile & Smartphones,true,Volume Discount,Saturday,6668.72
127,SKU0016,2025-03-22,1,Western Cape,Business,1299,882.93,32.03,882.93,2025-03,Accessories & Peripherals,true,Volume Discount,Saturday,882.93
128,SKU0029,2025-03-22,1,Western Cape,Individual,24999,19947.93,20.21,19947.93,2025-03,Gaming & Entertainment,true,New Client Promotion,Saturday,19947.93
129,SKU0002,2025-03-22,1,Western Cape,Individual,24999,17276.36,30.89,17276.36,2025-03,Computers & Laptops,true,Year End Sale,Saturday,17276.36
130,SKU0014,2025-03-27,1,KwaZulu-Natal,Business,23999,17534.3,26.94,17534.3,2025-03,Mobile & Smartphones,true,Volume Discount,Thursday,17534.3
131,SKU0025,2025-03-27,2,Eastern Cape,Individual,2999,2296.35,23.43,4592.69,2025-03,Networking & Storage,true,Business Sale,Thursday,4592.69
132,SKU0030,2025-03-27,1,Western Cape,Individual,12999,9193.94,29.27,9193.94,2025-03,Wearables & Smart Devices,true,New Client Promotion,Thursday,9193.94
133,SKU0028,2025-03-27,2,Western Cape,Individual,34999,27882.73,20.33,55765.47,2025-03,Gaming & Entertainment,true,Year End Sale,Thursday,55765.47
134,SKU0009,2025-03-22,2,Gauteng,Business,24999,15687.93,37.25,31375.85,2025-03,Mobile & Smartphones,true,New Client Promotion,Saturday,31375.85
135,SKU0023,2025-03-22,2,Western Cape,Business,6999,4417.96,36.88,8835.92,2025-03,Networking & Storage,true,Business Sale,Saturday,8835.92
136,SKU0030,2025-03-22,7,Eastern Cape,Individual,12999,9463.18,27.2,66242.28,2025-03,Wearables & Smart Devices,true,Bulk Purchase,Saturday,66242.28
137,SKU0023,2025-03-22,4,Free State,Individual,6999,4754.02,32.08,19016.1,2025-03,Networking & Storage,true,New Client Promotion,Saturday,19016.1
138,SKU0009,2025-03-22,2,Western Cape,Individual,24999,17918.72,28.32,35837.45,2025-03,Mobile & Smartphones,true,Volume Discount,Saturday,35837.45
139,SKU0028,2025-03-22,5,Gauteng,Individual,34999,26170.91,25.22,130854.56,2025-03,Gaming & Entertainment,true,Business Sale,Saturday,130854.56
140,SKU0030,2025-03-22,2,Gauteng,Individual,12999,8623.92,33.66,17247.84,2025-03,Wearables & Smart Devices,true,Year End Sale,Saturday,17247.84
141,SKU0016,2025-03-22,1,KwaZulu-Natal,Business,1299,945.59,27.21,945.59,2025-03,Accessories & Peripherals,true,Business Sale,Saturday,945.59
142,SKU0011,2025-03-27,2,Western Cape,Premium,18999,14379.95,24.31,28759.89,2025-03,Mobile & Smartphones,true,Year End Sale,Thursday,28759.89
143,SKU0025,2025-03-27,2,Gauteng,Individual,2999,2138.44,28.69,4276.89,2025-03,Networking & Storage,true,Volume Discount,Thursday,4276.89
144,SKU0016,2025-03-22,6,Western Cape,Individual,1299,1014.25,21.92,6085.5,2025-03,Accessories & Peripherals,true,Volume Discount,Saturday,6085.5
145,SKU0026,2025-03-22,2,Free State,Business,2535,1657.56,34.61,3315.11,2025-03,Software & Licensing,true,New Client Promotion,Saturday,3315.11
146,SKU0030,2025-03-22,7,KwaZulu-Natal,Individual,12999,9596.52,26.17,67175.66,2025-03,Wearables & Smart Devices,true,Volume Discount,Saturday,67175.66
147,SKU0017,2025-03-27,1,Gauteng,Individual,3999,3083.86,22.88,3083.86,2025-03,Accessories & Peripherals,true,Volume Discount,Thursday,3083.86
148,SKU0025,2025-03-22,1,Western Cape,Individual,2999,2273.88,24.18,2273.88,2025-03,Networking & Storage,true,Bulk Purchase,Saturday,2273.88
149,SKU0027,2025-03-22,5,Eastern Cape,Individual,4087,2933.21,28.23,14666.05,2025-03,Software & Licensing,true,Bulk Purchase,Saturday,14666.05
150,SKU0008,2025-03-22,4,Gauteng,Individual,26999,18803.2,30.36,75212.82,2025-03,Computers & Laptops,true,Business Sale,Saturday,75212.82
151,SKU0013,2025-03-22,2,Free State,Business,8999,5570.05,38.1,11140.1,2025-03,Mobile & Smartphones,true,Bulk Purchase,Saturday,11140.1
152,SKU0007,2025-03-27,1,KwaZulu-Natal,Business,17999,12934.04,28.14,12934.04,2025-03,Computers & Laptops,true,Year End Sale,Thursday,12934.04
153,SKU0019,2025-03-27,2,Gauteng,Individual,12999,8994.3,30.81,17988.6,2025-03,Displays & Audio Visual,true,Year End Sale,Thursday,17988.6
154,SKU0027,2025-03-22,2,Free State,Individual,4087,3114.84,23.79,6229.69,2025-03,Software & Licensing,true,Volume Discount,Saturday,6229.69
155,SKU0029,2025-03-22,2,Western Cape,Business,24999,16830.54,32.68,33661.07,2025-03,Gaming & Entertainment,true,New Client Promotion,Saturday,33661.07
156,SKU0023,2025-03-22,1,Gauteng,Individual,6999,5227.4,25.31,5227.4,2025-03,Networking & Storage,true,Volume Discount,Saturday,5227.4
157,SKU0028,2025-03-22,1,Eastern Cape,Individual,34999,26585.71,24.04,26585.71,2025-03,Gaming & Entertainment,true,Bulk Purchase,Saturday,26585.71
158,SKU0022,2025-03-22,1,KwaZulu-Natal,Business,6999,4366.63,37.61,4366.63,2025-03,Displays & Audio Visual,true,Year End Sale,Saturday,4366.63
159,SKU0026,2025-03-22,2,KwaZulu-Natal,Business,2535,1812.57,28.5,3625.14,2025-03,Software & Licensing,true,Bulk Purchase,Saturday,3625.14
160,SKU0021,2025-03-22,2,Free State,Individual,8999,6323.39,29.73,12646.77,2025-03,Displays & Audio Visual,true,Year End Sale,Saturday,12646.77
161,SKU0028,2025-03-22,4,Free State,Individual,34999,25179.47,28.06,100717.88,2025-03,Gaming & Entertainment,true,Year End Sale,Saturday,100717.88
162,SKU0028,2025-03-22,1,KwaZulu-Natal,Individual,34999,24919.98,28.8,24919.98,2025-03,Gaming & Entertainment,true,New Client Promotion,Saturday,24919.98
163,SKU0018,2025-03-22,6,Free State,Business,4999,3476.99,30.45,20861.96,2025-03,Accessories & Peripherals,true,Year End Sale,Saturday,20861.96
164,SKU0030,2025-03-27,1,Western Cape,Individual,12999,9286.27,28.56,9286.27,2025-03,Wearables & Smart Devices,true,Volume Discount,Thursday,9286.27
165,SKU0025,2025-03-27,1,Eastern Cape,Individual,2999,1979.18,34.01,1979.18,2025-03,Networking & Storage,true,Bulk Purchase,Thursday,1979.18
166,SKU0027,2025-03-22,2,Free State,Individual,4087,3175.89,22.29,6351.78,2025-03,Software & Licensing,true,New Client Promotion,Saturday,6351.78
167,SKU0027,2025-03-22,1,Free State,Individual,4087,3215.72,21.32,3215.72,2025-03,Software & Licensing,true,Business Sale,Saturday,3215.72
168,SKU0029,2025-03-27,2,Gauteng,Individual,24999,18032.36,27.87,36064.72,2025-03,Gaming & Entertainment,true,Bulk Purchase,Thursday,36064.72
169,SKU0019,2025-03-27,3,Western Cape,Individual,12999,9623.44,25.97,28870.32,2025-03,Displays & Audio Visual,true,New Client Promotion,Thursday,28870.32
170,SKU0015,2025-03-27,1,Gauteng,Individual,8999,5883.01,34.63,5883.01,2025-03,Accessories & Peripherals,true,Volume Discount,Thursday,5883.01
171,SKU0027,2025-03-22,2,Western Cape,Individual,4087,2829.15,30.78,5658.3,2025-03,Software & Licensing,true,Volume Discount,Saturday,5658.3
172,SKU0030,2025-03-22,2,Eastern Cape,Individual,12999,9469.86,27.15,18939.73,2025-03,Wearables & Smart Devices,true,Bulk Purchase,Saturday,18939.73
173,SKU0022,2025-03-22,5,Gauteng,Business,6999,4909.44,29.86,24547.18,2025-03,Displays & Audio Visual,true,Volume Discount,Saturday,24547.18
174,SKU0021,2025-03-22,1,Free State,Individual,8999,7044.19,21.72,7044.19,2025-03,Displays & Audio Visual,true,Year End Sale,Saturday,7044.19
175,SKU0026,2025-03-22,2,KwaZulu-Natal,Business,2535,1868.06,26.31,3736.12,2025-03,Software & Licensing,true,Volume Discount,Saturday,3736.12
